date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:35	4677/4677	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Oct%202022%2013:15:31%20GMT	https://dashlite.net/robots.txt		(from )
15:16:35	70596/70596	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2015:16:35%20GMT	https://dashlite.net/demo8/	E:/site/dashlite%20demo%208/dashlite.net/demo8/index.html	(from )
15:16:36	5000/5000	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Jan%202023%2023:33:24%20GMT	https://dashlite.net/demo8/images/favicon.png	E:/site/dashlite%20demo%208/dashlite.net/demo8/images/favicon.png	(from https://dashlite.net/demo8/)
15:16:37	167/167	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Jan%202023%2023:33:20%20GMT	https://dashlite.net/demo8/assets/css/theme.css?ver=3.1.2	E:/site/dashlite%20demo%208/dashlite.net/demo8/assets/css/theme0226.css	(from https://dashlite.net/demo8/)
15:16:37	756847/756847	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Jan%202023%2023:34:10%20GMT	https://dashlite.net/demo8/assets/css/dashlite.css?ver=3.1.2	E:/site/dashlite%20demo%208/dashlite.net/demo8/assets/css/dashlite0226.css	(from https://dashlite.net/demo8/)
15:16:38	70596/70596	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2015:16:38%20GMT	https://dashlite.net/demo8/index.html	E:/site/dashlite%20demo%208/dashlite.net/demo8/index-2.html	(from https://dashlite.net/demo8/)
15:16:38	4039/4039	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Jan%202023%2023:33:30%20GMT	https://dashlite.net/demo8/images/logo.png	E:/site/dashlite%20demo%208/dashlite.net/demo8/images/logo.png	(from https://dashlite.net/demo8/)
15:16:38	4047/4047	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Jan%202023%2023:33:30%20GMT	https://dashlite.net/demo8/images/logo-dark.png	E:/site/dashlite%20demo%208/dashlite.net/demo8/images/logo-dark.png	(from https://dashlite.net/demo8/)
15:16:38	71031/71031	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2015:16:39%20GMT	https://dashlite.net/demo8/index-sales.html	E:/site/dashlite%20demo%208/dashlite.net/demo8/index-sales.html	(from https://dashlite.net/demo8/)
15:16:39	65657/65657	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2015:16:39%20GMT	https://dashlite.net/demo8/index-crypto.html	E:/site/dashlite%20demo%208/dashlite.net/demo8/index-crypto.html	(from https://dashlite.net/demo8/)
